"city","range_value","BIKE","CAR","PT","WALK","walk_time","bike_time","pt_time","car_time"
"Mackay",26.375,0,11.25,0,0,348.645076007931,120.810748912131,71.2617151220061,41.0523141377555
"Mackay",26.625,0,11.25,0,0,351.949768671514,121.955874494236,71.5273152630784,41.2549510783425
"Mackay",26.875,0,11.25,0,0,355.254461335096,123.101000076342,71.7899060053091,41.4557724752953
"Mackay",27.125,0,10.75,0,0,358.559153998678,124.246125658447,72.0495382078369,41.6548026195816
"Mackay",27.375,0,10.75,0,0,361.86384666226,125.391251240553,72.3062615901875,41.8520653707603
"Mackay",27.625,0,10.75,0,0,365.168539325843,126.536376822658,72.5601247640154,42.047584166516
"Mackay",27.875,0,10.75,0,0,368.473231989425,127.681502404764,72.8111752637909,42.2413820319431
"Mackay",28.125,0,10.25,0,0,371.777924653007,128.826627986869,73.0594595764716,42.4334815885838
"Mackay",28.375,0,10.25,0,0,375.08261731659,129.971753568975,73.3050231702001,42.6239050632317
"Mackay",28.625,0,10.25,0,0,378.387309980172,131.11687915108,73.5479105220617,42.8126742965043
"Mackay",28.875,0,10.25,0,0,381.692002643754,132.262004733186,73.788165144941,42.9998107511937
"Mackay",29.125,0,14.75,0.75,0,384.996695307336,133.407130315291,74.0258296135089,43.1853355204018
"Mackay",29.375,0,14.75,0.75,0,388.301387970919,134.552255897397,74.2609455893738,43.3692693354659
"Mackay",29.625,0,14.75,0.75,0,391.606080634501,135.697381479502,74.4935538454285,43.551632573681
"Mackay",29.875,0,14.75,0.75,0,394.910773298083,136.842507061608,74.7236942894214,43.7324452658256
"Mackay",30.125,0,12.625,0,0,398.215465961666,137.987632643713,74.9514059867824,43.9117271034962
"Mackay",30.375,0,12.625,0,0,401.520158625248,139.132758225819,75.1767271827289,44.0894974462565
"Mackay",30.625,0,12.625,0,0,404.82485128883,140.277883807924,75.3996953236801,44.2657753286056
"Mackay",30.875,0,12.625,0,0,408.129543952412,141.42300939003,75.6203470780032,44.440579466773
"Mackay",31.125,0,12.625,0,0,411.434236615995,142.568134972135,75.8387183561171,44.6139282653424
"Mackay",31.375,0,12.625,0,0,414.738929279577,143.713260554241,76.054844329975,44.7858398237115
"Mackay",31.625,0,12.625,0,0,418.043621943159,144.858386136346,76.2687594519502,44.9563319423919
"Mackay",31.875,0,12.625,0,0,421.348314606742,146.003511718452,76.4804974731443,45.1254221291531
"Mackay",32.125,0,10.75,0,0,424.653007270324,147.148637300557,76.6900914611402,45.2931276050157
"Mackay",32.375,0,10.75,0,0,427.957699933906,148.293762882663,76.8975738172173,45.4594653100985
"Mackay",32.625,0,10.75,0,0,431.262392597488,149.438888464768,77.1029762930504,45.6244519093221
"Mackay",32.875,0,10.75,0,0,434.567085261071,150.584014046874,77.3063300069076,45.7881037979752
"Mackay",33.125,0,10.75,0,0,437.871777924653,151.729139628979,77.507665459367,45.9504371071454
"Mackay",33.375,0,10.75,0,0,441.176470588235,152.874265211085,77.7070125485669,46.1114677090199
"Mackay",33.625,0,10.75,0,0,444.481163251818,154.01939079319,77.904400585007,46.2712112220588
"Mackay",33.875,0,10.75,0,0,447.7858559154,155.164516375296,78.0998583059151,46.4296830160448
"Mackay",34.125,0,14.375,0,0,451.090548578982,156.309641957401,78.2934138891943,46.586898217013
"Mackay",34.375,0,14.375,0,0,454.395241242564,157.454767539507,78.4850949669649,46.7428717120639
"Mackay",34.625,0,14.375,0,0,457.699933906147,158.599893121612,78.6749286387155,46.8976181540623
"Mackay",34.875,0,14.375,0,0,461.004626569729,159.745018703718,78.8629414840743,47.0511519662266
"Mackay",35.125,0,14.375,0,0,464.309319233311,160.890144285823,79.0491595752163,47.2034873466097
"Mackay",35.375,0,14.375,0,0,467.614011896894,162.035269867929,79.2336084889152,47.354638272476
"Mackay",35.625,0,14.375,0,0,470.918704560476,163.180395450034,79.4163133182551,47.5046185045768
"Mackay",35.875,0,14.375,0,0,474.223397224058,164.32552103214,79.5972986840098,47.6534415913261
"Mackay",36.125,0,13.75,0,0.5,477.52808988764,165.470646614245,79.7765887457041,47.8011208728804
"Mackay",36.375,0,13.75,0,0.5,480.832782551223,166.615772196351,79.9542072123641,47.9476694851255
"Mackay",36.625,0,13.75,0,0.5,484.137475214805,167.760897778456,80.1301773529693,48.0931003635707
"Mackay",36.875,0,13.75,0,0.5,487.442167878387,168.906023360562,80.3045220066149,48.2374262471555
"Mackay",37.125,0,13.75,0,0.5,490.74686054197,170.051148942667,80.477263592393,48.3806596819691
"Mackay",37.375,0,13.75,0,0.5,494.051553205552,171.196274524773,80.6484241190036,48.5228130248862
"Mackay",37.625,0,13.75,0,0.5,497.356245869134,172.341400106878,80.818025194102,48.6638984471205
"Mackay",37.875,0,13.75,0,0.5,500.660938532717,173.486525688984,80.9860880333923,48.8039279376985
"Mackay",38.125,0,16.25,0.625,0,503.965631196299,174.631651271089,81.1526334694746,48.942913306856
"Mackay",38.375,0,16.25,0.625,0,507.270323859881,175.776776853195,81.3176819604536,49.0808661893584
"Mackay",38.625,0,16.25,0.625,0,510.575016523463,176.9219024353,81.4812535983159,49.2177980477471
"Mackay",38.875,0,16.25,0.625,0,513.879709187046,178.067028017406,81.6433681170834,49.3537201755152
"Mackay",39.125,0,16.25,0.625,0,517.184401850628,179.212153599511,81.8040449007505,49.4886437002116
"Mackay",39.375,0,16.25,0.625,0,520.48909451421,180.357279181617,81.9633029910101,49.6225795864785
"Mackay",39.625,0,16.25,0.625,0,523.793787177793,181.502404763722,82.1211610947761,49.7555386390212
"Mackay",39.875,0,16.25,0.625,0,527.098479841375,182.647530345828,82.2776375915091,49.8875315055139
"Mackay",40.125,0,11.5,0,0,530.403172504957,183.792655927933,82.4327505403497,50.0185686794423
"Mackay",40.375,0,11.5,0,0,533.707865168539,184.937781510039,82.5865176870661,50.1486605028839
"Mackay",40.625,0,11.5,0,0,537.012557832122,186.082907092144,82.7389564708229,50.27781716923
"Mackay",40.875,0,11.5,0,0,540.317250495704,187.22803267425,82.8900840307733,50.4060487258471
"Mackay",41.125,0,11.5,0,0,543.621943159286,188.373158256355,83.0399172124838,50.5333650766832
"Mackay",41.375,0,11.5,0,0,546.926635822869,189.518283838461,83.1884725741931,50.6597759848174
"Mackay",41.625,0,11.5,0,0,550.231328486451,190.663409420566,83.3357663929127,50.7852910749553
"Mackay",41.875,0,11.5,0,0,553.536021150033,191.808535002672,83.4818146703714,50.9099198358725
"Mackay",42.125,0,8.5,0,0,556.840713813615,192.953660584777,83.6266331388111,51.0336716228051
"Mackay",42.375,0,8.5,0,0,560.145406477198,194.098786166883,83.7702372666356,51.1565556597913
"Mackay",42.625,0,8.5,0,0,563.45009914078,195.243911748988,83.9126422639188,51.2785810419627
"Mackay",42.875,0,8.5,0,0,566.754791804362,196.389037331094,84.0538630877746,51.3997567377888
"Mackay",43.125,0,8.5,0,0,570.059484467945,197.534162913199,84.1939144475944,51.5200915912739
"Mackay",43.375,0,8.5,0,0,573.364177131527,198.679288495305,84.332810810154,51.6395943241091
"Mackay",43.625,0,8.5,0,0,576.668869795109,199.82441407741,84.4705664045955,51.7582735377793
"Mackay",43.875,0,8.5,0,0,579.973562458691,200.969539659516,84.6071952272864,51.8761377156271
"Mackay",44.125,0,7.125,0,0,583.278255122274,202.114665241622,84.7427110465605,51.9931952248743
"Mackay",44.375,0,7.125,0,0,586.582947785856,203.259790823727,84.8771274073425,52.1094543186016
"Mackay",44.625,0,7.125,0,0,589.887640449438,204.404916405832,85.0104576356615,52.224923137689
"Mackay",44.875,0,7.125,0,0,593.19233311302,205.550041987938,85.1427148430552,52.3396097127153
"Mackay",45.125,0,7.125,0,0,596.497025776603,206.695167570044,85.2739119308675,52.4535219658204
"Mackay",45.375,0,7.125,0,0,599.801718440185,207.840293152149,85.4040615944444,52.5666677125294
"Mackay",45.625,0,7.125,0,0,603.106411103767,208.985418734254,85.5331763272288,52.6790546635396
"Mackay",45.875,0,7.125,0,0,606.41110376735,210.13054431636,85.6612684247585,52.790690426473
"Mackay",46.125,0,7.625,0,0,609.715796430932,211.275669898466,85.7883499885693,52.9015825075924
"Mackay",46.375,0,7.625,0,0,613.020489094514,212.420795480571,85.9144329300064,53.0117383134837
"Mackay",46.625,0,7.625,0,0,616.325181758097,213.565921062677,86.0395289739459,53.1211651527056
"Mackay",46.875,0,7.625,0,0,619.629874421679,214.711046644782,86.16364966243,53.2298702374052
"Mackay",47.125,0,7.625,0,0,622.934567085261,215.856172226888,86.2868063582161,53.3378606849034
"Mackay",47.375,0,7.625,0,0,626.239259748843,217.001297808993,86.4090102482454,53.4451435192475
"Mackay",47.625,0,7.625,0,0,629.543952412426,218.146423391099,86.5302723470295,53.5517256727348
"Mackay",47.875,0,7.625,0,0,632.848645076008,219.291548973204,86.6506034999604,53.6576139874052
"Mackay",48.125,0,4.375,0,0,636.15333773959,220.43667455531,86.7700143865435,53.7628152165059
"Mackay",48.375,0,4.375,0,0,639.458030403173,221.581800137415,86.8885155235576,53.8673360259268
"Mackay",48.625,0,4.375,0,0,642.762723066755,222.726925719521,87.0061172681421,53.9711829956088
"Mackay",48.875,0,4.375,0,0,646.067415730337,223.872051301626,87.1228298208152,54.074362620924
"Mackay",49.125,0,4.375,0,0,649.372108393919,225.017176883732,87.2386632284225,54.1768813140306
"Mackay",49.375,0,4.375,0,0,652.676801057502,226.162302465837,87.3536273870208,54.2787454052011
"Mackay",49.625,0,4.375,0,0,655.981493721084,227.307428047943,87.4677320446959,54.3799611441252
"Mackay",49.875,0,4.375,0,0,659.286186384666,228.452553630048,87.5809868043183,54.4805347011877
"Mackay",50.125,0,6.375,0,0,662.590879048249,229.597679212154,87.6934011262369,54.5804721687231
"Mackay",50.375,0,6.375,0,0,665.895571711831,230.742804794259,87.8049843309137,54.6797795622452
"Mackay",50.625,0,6.375,0,0,669.200264375413,231.887930376365,87.9157456014993,54.7784628216544
"Mackay",50.875,0,6.375,0,0,672.504957038995,233.03305595847,88.0256939863528,54.8765278124221
"Mackay",51.125,0,6.375,0,0,675.809649702578,234.178181540576,88.1348384015055,54.9739803267524
"Mackay",51.375,0,6.375,0,0,679.11434236616,235.323307122681,88.2431876330715,55.0708260847233
"Mackay",51.625,0,6.375,0,0,682.419035029742,236.468432704787,88.3507503396049,55.1670707354051
"Mackay",51.875,0,6.375,0,0,685.723727693325,237.613558286892,88.4575350544067,55.2627198579593
"Mackay",52.125,0,2.125,0,0,689.028420356907,238.758683868998,88.5635501877816,55.3577789627165
"Mackay",52.375,0,2.125,0,0,692.333113020489,239.903809451103,88.6688040292459,55.4522534922347
"Mackay",52.625,0,2.125,0,0,695.637805684071,241.048935033209,88.7733047496881,55.5461488223381
"Mackay",52.875,0,2.125,0,0,698.942498347654,242.194060615314,88.8770604034837,55.6394702631366
"Mackay",53.125,0,2.125,0,0,702.247191011236,243.33918619742,88.9800789305641,55.7322230600269
"Mackay",53.375,0,2.125,0,0,705.551883674818,244.484311779525,89.0823681584428,55.8244123946755
"Mackay",53.625,0,2.125,0,0,708.856576338401,245.629437361631,89.1839358041973,55.9160433859836
"Mackay",53.875,0,2.125,0,0,712.161269001983,246.774562943736,89.28478947641,56.0071210910343
"Mackay",54.125,0,1.5,0,0,715.465961665565,247.919688525842,89.3849366770685,56.0976505060233
"Mackay",54.375,0,1.5,0,0,718.770654329147,249.064814107947,89.4843848034258,56.1876365671722
"Mackay",54.625,0,1.5,0,0,722.07534699273,250.209939690053,89.5831411498211,56.2770841516262
"Mackay",54.875,0,1.5,0,0,725.380039656312,251.355065272158,89.6812129094642,56.3659980783346
"Mackay",55.125,0,1.5,0,0,728.684732319894,252.500190854264,89.7786071761812,56.4543831089169
"Mackay",55.375,0,1.5,0,0,731.989424983477,253.645316436369,89.8753309461255,56.5422439485121
"Mackay",55.625,0,1.5,0,0,735.294117647059,254.790442018475,89.971391119453,56.6295852466144
"Mackay",55.875,0,1.5,0,0,738.598810310641,255.93556760058,90.0667945019629,56.7164115978929
"Mackay",56.125,0,2.375,0,0,741.903502974223,257.080693182686,90.1615478067049,56.8027275429974
"Mackay",56.375,0,2.375,0,0,745.208195637806,258.225818764791,90.2556576555543,56.88853756935
"Mackay",56.625,0,2.375,0,0,748.512888301388,259.370944346897,90.3491305807541,56.9738461119228
"Mackay",56.875,0,2.375,0,0,751.81758096497,260.516069929002,90.441973026427,57.0586575540019
"Mackay",57.125,0,2.375,0,0,755.122273628553,261.661195511108,90.5341913500556,57.1429762279384
"Mackay",57.375,0,2.375,0,0,758.426966292135,262.806321093213,90.6257918239346,57.2268064158855
"Mackay",57.625,0,2.375,0,0,761.731658955717,263.951446675319,90.7167806365917,57.3101523505243
"Mackay",57.875,0,2.375,0,0,765.036351619299,265.096572257424,90.8071638941825,57.3930182157754
"Mackay",58.125,0,1,0,0,768.341044282882,266.24169783953,90.8969476218557,57.4754081474996
"Mackay",58.375,0,1,0,0,771.645736946464,267.386823421635,90.9861377650921,57.5573262341856
"Mackay",58.625,0,1,0,0,774.950429610046,268.531949003741,91.0747401910175,57.6387765176265
"Mackay",58.875,0,1,0,0,778.255122273629,269.677074585846,91.1627606896885,57.7197629935847
"Mackay",59.125,0,1,0,0,781.559814937211,270.822200167952,91.2502049753547,57.8002896124448
"Mackay",59.375,0,1,0,0,784.864507600793,271.967325750057,91.3370786876945,57.8803602798566
"Mackay",59.625,0,1,0,0,788.169200264375,273.112451332163,91.4233873930279,57.9599788573662
"Mackay",59.875,0,1,0,0,791.473892927958,274.257576914268,91.5091365855056,58.0391491630367
"Mackay",60.125,0,1.25,0,0,794.77858559154,275.402702496374,91.5943316882746,58.1178749720587
"Mackay",60.375,0,1.25,0,0,798.083278255122,276.547828078479,91.6789780546214,58.1961600173504
"Mackay",60.625,0,1.25,0,0,801.387970918705,277.692953660585,91.7630809690938,58.2740079901475
"Mackay",60.875,0,1.25,0,0,804.692663582287,278.83807924269,91.8466456486001,58.3514225405834
"Mackay",61.125,0,1.25,0,0,807.997356245869,279.983204824796,91.9296772434883,58.4284072782598
"Mackay",61.375,0,1.25,0,0,811.302048909452,281.128330406901,92.0121808386039,58.5049657728077
"Mackay",61.625,0,1.25,0,0,814.606741573034,282.273455989007,92.0941614543281,58.581101554439
"Mackay",61.875,0,1.25,0,0,817.911434236616,283.418581571112,92.1756240475961,58.6568181144894
"Mackay",62.125,0,1.5,0,0,821.216126900198,284.563707153218,92.2565735128964,58.7321189059518
"Mackay",62.375,0,1.5,0,0,824.520819563781,285.708832735323,92.3370146832507,58.8070073440013
"Mackay",62.625,0,1.5,0,0,827.825512227363,286.853958317429,92.4169523311761,58.8814868065118
"Mackay",62.875,0,1.5,0,0,831.130204890945,287.999083899534,92.4963911696288,58.9555606345634
"Mackay",63.125,0,1.5,0,0,834.434897554528,289.14420948164,92.5753358529305,59.0292321329424
"Mackay",63.375,0,1.5,0,0,837.73959021811,290.289335063745,92.6537909776772,59.1025045706325
"Mackay",63.625,0,1.5,0,0,841.044282881692,291.434460645851,92.7317610836317,59.1753811812987
"Mackay",63.875,0,1.5,0,0,844.348975545274,292.579586227956,92.8092506545988,59.2478651637626
"Mackay",64.125,0,1.5,0,0,847.653668208857,293.724711810062,92.8862641192855,59.3199596824706
"Mackay",64.375,0,1.5,0,0,850.958360872439,294.869837392167,92.962805852144,59.3916678679544
"Mackay",64.625,0,1.5,0,0,854.263053536021,296.014962974273,93.0388801742005,59.4629928172845
"Mackay",64.875,0,1.5,0,0,857.567746199603,297.160088556378,93.114491353868,59.5339375945154
"Mackay",65.125,0,1.5,0,0,860.872438863186,298.305214138484,93.1896436077449,59.6045052311248
"Mackay",65.375,0,1.5,0,0,864.177131526768,299.450339720589,93.264341101399,59.6746987264453
"Mackay",65.625,0,1.5,0,0,867.48182419035,300.595465302695,93.3385879501364,59.7445210480896
"Mackay",65.875,0,1.5,0,0,870.786516853933,301.7405908848,93.4123882197584,59.8139751323682
"Mackay",66.125,0,0.875,0.5,0,874.091209517515,302.885716466906,93.4857459273026,59.8830638847015
"Mackay",66.375,0,0.875,0.5,0,877.395902181097,304.030842049011,93.5586650417725,59.9517901800247
"Mackay",66.625,0,0.875,0.5,0,880.700594844679,305.175967631117,93.631149484853,60.0201568631867
"Mackay",66.875,0,0.875,0.5,0,884.005287508262,306.321093213222,93.7032031316136,60.0881667493425
"Mackay",67.125,0,0.875,0.5,0,887.309980171844,307.466218795328,93.7748298111988,60.1558226243398
"Mackay",67.375,0,0.875,0.5,0,890.614672835426,308.611344377433,93.8460333075068,60.2231272450992
"Mackay",67.625,0,0.875,0.5,0,893.919365499009,309.756469959539,93.9168173598553,60.2900833399889
"Mackay",67.875,0,0.875,0.5,0,897.224058162591,310.901595541644,93.9871856636367,60.3566936091932
"Mackay",68.125,0,0.375,0,0,900.528750826173,312.04672112375,94.0571418709605,60.4229607250755
"Mackay",68.375,0,0.375,0,0,903.833443489755,313.191846705855,94.126689591286,60.4888873325359
"Mackay",68.625,0,0.375,0,0,907.138136153338,314.336972287961,94.1958323920422,60.5544760493627
"Mackay",68.875,0,0.375,0,0,910.44282881692,315.482097870066,94.2645737992387,60.6197294665794
"Mackay",69.125,0,0.375,0,0,913.747521480502,316.627223452172,94.3329172980641,60.6846501487853
"Mackay",69.375,0,0.375,0,0,917.052214144085,317.772349034277,94.400866333476,60.7492406344921
"Mackay",69.625,0,0.375,0,0,920.356906807667,318.917474616383,94.4684243107791,60.8135034364543
"Mackay",69.875,0,0.375,0,0,923.661599471249,320.062600198488,94.5355945961943,60.8774410419953
"Mackay",70.125,0,0.625,0,0,926.966292134832,321.207725780594,94.6023805174183,60.9410559133283
"Mackay",70.375,0,0.625,0,0,930.270984798414,322.352851362699,94.6687853641722,61.0043504878723
"Mackay",70.625,0,0.625,0,0,933.575677461996,323.497976944805,94.7348123887425,61.0673271785634
"Mackay",70.875,0,0.625,0,0,936.880370125578,324.64310252691,94.8004648065117,61.1299883741615
"Mackay",71.125,0,0.625,0,0,940.185062789161,325.788228109016,94.8657457964805,61.1923364395524
"Mackay",71.375,0,0.625,0,0,943.489755452743,326.933353691121,94.9306585017803,61.254373716045
"Mackay",71.625,0,0.625,0,0,946.794448116325,328.078479273227,94.9952060301785,61.3161025216648
"Mackay",71.875,0,0.625,0,0,950.099140779908,329.223604855332,95.059391454574,61.3775251514424
"Mackay",72.125,0,0.375,0,0,953.40383344349,330.368730437438,95.1232178134849,61.4386438776977
"Mackay",72.375,0,0.375,0,0,956.708526107072,331.513856019543,95.1866881115279,61.4994609503207
"Mackay",72.625,0,0.375,0,0,960.013218770654,332.658981601649,95.2498053198902,61.559978597047
"Mackay",72.875,0,0.375,0,0,963.317911434237,333.804107183754,95.3125723767925,61.6201990237303
"Mackay",73.125,0,0.375,0,0,966.622604097819,334.94923276586,95.3749921879458,61.6801244146099
"Mackay",73.375,0,0.375,0,0,969.927296761401,336.094358347966,95.4370676269988,61.7397569325754
"Mackay",73.625,0,0.375,0,0,973.231989424983,337.239483930071,95.4988015359796,61.7990987194261
"Mackay",73.875,0,0.375,0,0,976.536682088566,338.384609512176,95.5601967257293,61.8581518961285
"Mackay",74.125,0,0,0,0,979.841374752148,339.529735094282,95.6212559763285,61.9169185630681
"Mackay",74.375,0,0,0,0,983.14606741573,340.674860676387,95.681982037517,61.9754008002986
"Mackay",74.625,0,0,0,0,986.450760079313,341.819986258493,95.7423776291065,62.0336006677877
"Mackay",74.875,0,0,0,0,989.755452742895,342.965111840599,95.802445441387,62.0915202056587
"Mackay",75.125,0,0,0,0,993.060145406477,344.110237422704,95.8621881355256,62.1491614344288
"Mackay",75.375,0,0,0,0,996.364838070059,345.25536300481,95.9216083439604,62.2065263552443
"Mackay",75.625,0,0,0,0,999.669530733642,346.400488586915,95.9807086707862,62.2636169501119
"Mackay",75.875,0,0,0,0,1002.97422339722,347.54561416902,96.0394916921357,62.3204351821273
"Mackay",76.125,0,0,0,0.5,1006.27891606081,348.690739751126,96.0979599565534,62.3769829956999
"Mackay",76.375,0,0,0,0.5,1009.58360872439,349.835865333232,96.1561159853641,62.4332623167747
"Mackay",76.625,0,0,0,0.5,1012.88830138797,350.980990915337,96.2139622730352,62.4892750530513
"Mackay",76.875,0,0,0,0.5,1016.19299405155,352.126116497443,96.2715012875335,62.5450230941989
"Mackay",77.125,0,0,0,0.5,1019.49768671514,353.271242079548,96.3287354706759,62.6005083120691
"Mackay",77.375,0,0,0,0.5,1022.80237937872,354.416367661654,96.3856672384754,62.6557325609055
"Mackay",77.625,0,0,0,0.5,1026.1070720423,355.561493243759,96.4422989814803,62.7106976775499
"Mackay",77.875,0,0,0,0.5,1029.41176470588,356.706618825865,96.4986330651095,62.7654054816464
"Mackay",78.125,0,0.75,0,0,1032.71645736946,357.85174440797,96.5546718299814,62.819857775842
